,percentiles,percentile_values
0,0.05,0.7383434865601544
1,0.1,1.0672360423575533
2,0.16,1.400817434838031
3,0.25,1.8633401697178742
4,0.3,2.1381209030965223
5,0.5,3.2634000653722763
6,0.75,4.705443354853152
7,0.84,5.260587416207038
8,0.9,5.654750865910362
9,0.95,6.002580780405528
