,percentiles,percentile_values
0,0.05,22.060158640286403
1,0.1,32.18796816896774
2,0.16,39.80801345218947
3,0.25,47.54104105143297
4,0.3,50.97038063883946
5,0.5,62.33654998122306
6,0.75,77.09156497132716
7,0.84,85.10602565322732
8,0.9,93.43992799736225
9,0.95,104.49977077152333
