,data\Cal_20.tif,data\Cal_23.tif,data\Cal_24.tif,data\Cal_27.tif,data\Cal_28.tif,data\Cal_29.tif
grain size frequencies,"[0.01165527 0.01260267 0.01351321 0.0143708  0.01508156 0.01567568
 0.01612585 0.01645895 0.01672835 0.01688786 0.0170022  0.01711734
 0.01719299 0.01718293 0.01719589 0.01716098 0.01703827 0.01701313
 0.01697859 0.01687888 0.0167683  0.01664348 0.01651632 0.01633314
 0.01614157 0.01594677 0.01573433 0.01549066 0.01518184 0.01494983
 0.01469055 0.01441475 0.01410006 0.0138384  0.01354726 0.01323622
 0.01295802 0.0126699  0.01236092 0.0120915  0.01175334 0.01144644
 0.01113388 0.01082346 0.01050818 0.01018382 0.00987166 0.00956468
 0.00926531 0.0089498  0.00864413 0.0083742  0.00808709 0.00782532
 0.00755349 0.00731396 0.00706147 0.00681629 0.00658434 0.00632858
 0.00614586 0.00591266 0.00570477 0.00550584 0.00529619 0.00510396
 0.00491318 0.00473267 0.00456095 0.00439002 0.00422801 0.00406917
 0.00391608 0.00377351 0.00362879 0.00350153 0.00337896 0.00326107
 0.00314754 0.00303627 0.00293776 0.00284522 0.00276035 0.00266827
 0.00258874 0.00251288 0.00244147 0.00237471 0.00231329 0.00225619
 0.002198   0.00214512 0.00208472 0.00204954 0.00200722 0.00196313
 0.00192485 0.00188981 0.00185173 0.00182425 0.00178752 0.00175608
 0.00172875 0.00169438 0.00168045 0.00165278 0.00162693 0.00160507
 0.00158413 0.0015624  0.00154115 0.00152363 0.00150477 0.00148776
 0.00146861 0.00145361 0.0014388  0.00142008 0.00140586 0.00139106
 0.0013769  0.00136231 0.00134888 0.00134294 0.00132867 0.00130207
 0.00129448 0.00128339 0.0012729  0.00126119 0.00124923 0.00123809
 0.0012273  0.00121668 0.00120519 0.00119478 0.00118328 0.00117322
 0.00116487 0.00115296 0.00114148 0.00113256 0.00112152 0.00111209
 0.0011014  0.00109219 0.00108144 0.00107285 0.00106405 0.00105398
 0.00104496 0.00103596 0.0010266  0.00101823 0.00100935 0.00100093
 0.00098831]","[0.00808913 0.00868965 0.00937132 0.01005661 0.01062378 0.01111496
 0.01154247 0.01190626 0.01223766 0.01252321 0.01281042 0.01312298
 0.01344017 0.01370764 0.01399051 0.01422071 0.01437218 0.01457504
 0.01475838 0.01487356 0.01496452 0.01502865 0.01508799 0.01509757
 0.01510234 0.01510899 0.01510291 0.01507037 0.01497817 0.01494246
 0.01487756 0.0147859  0.01464194 0.01453285 0.01438219 0.01419854
 0.01403331 0.01384917 0.01363864 0.01345991 0.01320985 0.01298537
 0.01275097 0.01251409 0.01226551 0.01199961 0.01173899 0.01147291
 0.01120378 0.01090609 0.0106071  0.01033407 0.01003272 0.0097477
 0.00944425 0.00916691 0.00887085 0.00857753 0.00829533 0.00798601
 0.00775223 0.00746563 0.00720335 0.00695257 0.00669076 0.00644851
 0.0062087  0.00598042 0.00576212 0.00554531 0.0053385  0.00513523
 0.00493847 0.00475281 0.00456532 0.00439595 0.00423174 0.00407261
 0.00391846 0.00376713 0.00362936 0.00349833 0.00337571 0.00324637
 0.00313055 0.00301919 0.00291349 0.00281344 0.00271992 0.00263179
 0.00254361 0.00246205 0.00237379 0.00231309 0.00224516 0.00217712
 0.00211619 0.00205973 0.00200139 0.00195492 0.00190035 0.00185214
 0.00180916 0.0017602  0.00173262 0.00169258 0.00165518 0.00162271
 0.00159199 0.00156126 0.0015319  0.00150696 0.00148136 0.00145819
 0.00143375 0.00141379 0.00139468 0.00137234 0.00135485 0.0013372
 0.00132073 0.0013043  0.00128926 0.00128213 0.00126675 0.00124032
 0.00123222 0.0012212  0.00121096 0.00119988 0.00118876 0.00117865
 0.00116912 0.00115995 0.00115023 0.0011415  0.00113207 0.00112409
 0.00111781 0.00110815 0.0010991  0.00109253 0.00108384 0.00107681
 0.00106854 0.00106166 0.00105324 0.00104681 0.0010402  0.00103217
 0.00102515 0.00101798 0.00101043 0.00100372 0.00099631 0.00098933
 0.0009781  0.00097587 0.00096917 0.00096154 0.00095531 0.00094818
 0.00094144 0.00093434 0.00092805 0.00092237 0.00091523]","[0.00694183 0.00738338 0.00792158 0.00851788 0.00901813 0.00946092
 0.00984582 0.01020917 0.01058499 0.0109271  0.01125723 0.01159717
 0.0119415  0.01224903 0.01257752 0.01285943 0.01306459 0.01330318
 0.01351768 0.01367262 0.01381321 0.01394065 0.01407702 0.01418053
 0.01428836 0.01440357 0.01450694 0.01458144 0.0145932  0.01464255
 0.01465629 0.01463596 0.01455678 0.01450374 0.01440696 0.01427576
 0.01416004 0.01402531 0.01386485 0.01373366 0.0135333  0.013356
 0.0131668  0.0129728  0.01276448 0.01253594 0.01230993 0.01207482
 0.01183333 0.01156064 0.01128325 0.01102724 0.01074048 0.01046623
 0.01017068 0.00989747 0.00960252 0.00930781 0.00902113 0.00870643
 0.0084619  0.00816569 0.00789274 0.00762857 0.00735474 0.00709961
 0.00684721 0.00660685 0.00637654 0.00614864 0.00593128 0.00571801
 0.00551164 0.00531705 0.00512027 0.00494294 0.00477063 0.00460316
 0.00444147 0.00428197 0.00413671 0.00399786 0.00386785 0.00372966
 0.00360534 0.00348523 0.00337062 0.00326149 0.00315859 0.00306095
 0.00296241 0.00287028 0.00277046 0.00269922 0.00261998 0.00253975
 0.00246662 0.00239778 0.00232612 0.00226711 0.00219833 0.00213631
 0.00207958 0.00201566 0.00197546 0.00192147 0.00186998 0.00182382
 0.00177973 0.00173566 0.00169318 0.00165586 0.00161802 0.00158325
 0.0015474  0.00151676 0.0014877  0.00145527 0.00142881 0.00140255
 0.00137826 0.00135444 0.00133269 0.00132033 0.00129886 0.00126464
 0.00125399 0.00123856 0.0012247  0.00121035 0.00119623 0.00118354
 0.00117184 0.00116077 0.00114931 0.00113928 0.00112864 0.00111969
 0.00111255 0.00110236 0.00109271 0.00108571 0.00107673 0.00106939
 0.00106091 0.00105385 0.00104528 0.00103883 0.00103207 0.00102401
 0.00101688 0.00100969 0.00100201 0.00099522 0.00098767 0.00098059
 0.00096918 0.00096686 0.00095986 0.00095202 0.00094556 0.00093824
 0.0009312  0.00092378 0.00091722 0.00091117 0.00090372]","[0.00714921 0.0075793  0.00812207 0.00879884 0.00934421 0.00980189
 0.01023649 0.01064768 0.01104168 0.01139166 0.01173862 0.01210403
 0.0124655  0.01277063 0.01308191 0.01334015 0.01352008 0.01374072
 0.01393831 0.0140777  0.01420481 0.01432152 0.01444502 0.0145319
 0.01461626 0.01470059 0.01476935 0.01480942 0.01479157 0.01481798
 0.01481629 0.01478828 0.01470957 0.01466038 0.01457127 0.01444871
 0.01433861 0.01420705 0.01404694 0.01391033 0.0137019  0.0135115
 0.01330543 0.01309184 0.01286171 0.01260979 0.01236002 0.0121009
 0.01183563 0.01153972 0.01123973 0.01096234 0.01065495 0.01036129
 0.01004707 0.00975646 0.00944486 0.00913442 0.00883289 0.00850351
 0.00824641 0.00793738 0.00765246 0.00737733 0.00709278 0.00682817
 0.00656696 0.00631872 0.0060816  0.00584773 0.00562548 0.00540861
 0.00519954 0.00500375 0.00480684 0.00463072 0.00446105 0.00429747
 0.0041412  0.00398842 0.00385108 0.0037217  0.00360229 0.00347591
 0.00336468 0.00325877 0.00315938 0.0030663  0.00298011 0.00289996
 0.00281922 0.00274525 0.00266417 0.00261015 0.00255029 0.00248811
 0.00243276 0.00238125 0.00232631 0.00228355 0.00222974 0.00218198
 0.00213888 0.00208732 0.00205948 0.00201583 0.0019739  0.00193652
 0.00190018 0.00186273 0.00182609 0.00179387 0.00176008 0.00172858
 0.00169509 0.00166616 0.00163819 0.00160578 0.00157897 0.00155185
 0.00152618 0.00150035 0.00147635 0.00146189 0.00143755 0.0013974
 0.00138453 0.00136528 0.00134776 0.00132929 0.00131108 0.00129443
 0.00127871 0.00126355 0.00124821 0.00123436 0.00121988 0.00120752
 0.00119731 0.00118375 0.00117106 0.00116157 0.00114992 0.00114043
 0.00112986 0.00112102 0.00111083 0.00110317 0.0010954  0.00108637
 0.00107862 0.00107081 0.0010628  0.00105588 0.00104829 0.0010412
 0.00102979]","[0.00145513 0.00218367 0.00281284 0.00323125 0.0034611  0.00358201
 0.00362864 0.00364704 0.00370533 0.00378351 0.00390011 0.00404658
 0.00419733 0.00432457 0.00450129 0.00467928 0.00483078 0.00506002
 0.00530619 0.00553779 0.00579447 0.0060807  0.00641762 0.00677273
 0.00718803 0.00767086 0.00821098 0.00879643 0.00939645 0.01010345
 0.01085041 0.01163016 0.01241361 0.01327386 0.0141363  0.01499567
 0.01588534 0.01676312 0.01761202 0.01846994 0.0192261  0.0199661
 0.02063926 0.02124559 0.02176415 0.02218074 0.02251832 0.02275445
 0.02289019 0.02289418 0.02279679 0.02262847 0.02233097 0.02196096
 0.02147946 0.02094888 0.02031805 0.01962636 0.01888851 0.01807145
 0.01730038 0.01644028 0.01559636 0.01474542 0.01388325 0.01305031
 0.01223354 0.01145126 0.01070533 0.00999072 0.00932184 0.00869124
 0.00810439 0.00757014 0.00706528 0.0066247  0.00622406 0.00586026
 0.00553731 0.00524256 0.00499382 0.00477813 0.00459468 0.00441516
 0.00427244 0.00414913 0.00404578 0.00396013 0.00389062 0.00383691
 0.00378507 0.00374719 0.00370124 0.00369487 0.00368699 0.00367357
 0.00367011]","[0.00265176 0.00303995 0.00350671 0.0039786  0.00429936 0.00455826
 0.00480756 0.00505147 0.00531864 0.00557569 0.00583298 0.00609989
 0.00636811 0.00661963 0.0069073  0.00719287 0.00745521 0.00777148
 0.00809493 0.00839478 0.00869825 0.00900101 0.00931767 0.00961357
 0.00991598 0.01022803 0.01053787 0.01083484 0.01109555 0.01139634
 0.01168431 0.0119597  0.01220162 0.0124727  0.0127178  0.0129384
 0.01316778 0.01337805 0.01356272 0.01375968 0.01389048 0.01402852
 0.01414329 0.01424203 0.01431486 0.01435597 0.01438949 0.01439996
 0.01439075 0.01433834 0.01426596 0.01419598 0.01408043 0.01395977
 0.01379864 0.01364133 0.01344188 0.01322407 0.0129936  0.01271782
 0.01248768 0.01219201 0.01190179 0.01160177 0.01127891 0.01096031
 0.0106319  0.01030457 0.00997774 0.0096453  0.00931671 0.00898709
 0.00866007 0.00834246 0.00802048 0.00771766 0.00742026 0.00712843
 0.00684463 0.00656505 0.00630282 0.0060508  0.00581112 0.00556717
 0.00534143 0.00512448 0.00491796 0.00472159 0.00453606 0.00436111
 0.00418941 0.00402895 0.00386572 0.00373351 0.00360089 0.00346997
 0.00335001 0.00323843 0.00312702 0.00303257 0.00292997 0.00283713
 0.00275307 0.00266301 0.00260188 0.00252576 0.00245464 0.0023911
 0.00233093 0.00227165 0.00221543 0.00216591 0.00211643 0.00207085
 0.0020245  0.00198482 0.00194719 0.00190584 0.00187171 0.00183828
 0.00180705 0.00177646 0.00174862 0.00173176 0.00170485 0.00166262
 0.00164733 0.00162723 0.00160887 0.00158989 0.00157143 0.00155473
 0.00153922 0.00152453 0.00150947 0.00149609 0.00148195 0.00147
 0.0014605  0.00144687 0.00143399 0.00142458 0.00141253 0.00140262
 0.00139118 0.00138152 0.00136994 0.00136099 0.00135167 0.0013406
 0.00133077 0.00132069 0.00130994 0.00130033 0.0012897  0.00127955
 0.0012637 ]"
grain size bins,"[ 1.84615385  2.46153846  3.07692308  3.69230769  4.30769231  4.92307692
  5.53846154  6.15384615  6.76923077  7.38461538  8.          8.61538462
  9.23076923  9.84615385 10.46153846 11.07692308 11.69230769 12.30769231
 12.92307692 13.53846154 14.15384615 14.76923077 15.38461538 16.
 16.61538462 17.23076923 17.84615385 18.46153846 19.07692308 19.69230769
 20.30769231 20.92307692 21.53846154 22.15384615 22.76923077 23.38461538
 24.         24.61538462 25.23076923 25.84615385 26.46153846 27.07692308
 27.69230769 28.30769231 28.92307692 29.53846154 30.15384615 30.76923077
 31.38461538 32.         32.61538462 33.23076923 33.84615385 34.46153846
 35.07692308 35.69230769 36.30769231 36.92307692 37.53846154 38.15384615
 38.76923077 39.38461538 40.         40.61538462 41.23076923 41.84615385
 42.46153846 43.07692308 43.69230769 44.30769231 44.92307692 45.53846154
 46.15384615 46.76923077 47.38461538 48.         48.61538462 49.23076923
 49.84615385 50.46153846 51.07692308 51.69230769 52.30769231 52.92307692
 53.53846154 54.15384615 54.76923077 55.38461538 56.         56.61538462
 57.23076923 57.84615385 58.46153846 59.07692308 59.69230769 60.30769231
 60.92307692 61.53846154 62.15384615 62.76923077 63.38461538 64.
 64.61538462 65.23076923 65.84615385 66.46153846 67.07692308 67.69230769
 68.30769231 68.92307692 69.53846154 70.15384615 70.76923077 71.38461538
 72.         72.61538462 73.23076923 73.84615385 74.46153846 75.07692308
 75.69230769 76.30769231 76.92307692 77.53846154 78.15384615 78.76923077
 79.38461538 80.         80.61538462 81.23076923 81.84615385 82.46153846
 83.07692308 83.69230769 84.30769231 84.92307692 85.53846154 86.15384615
 86.76923077 87.38461538 88.         88.61538462 89.23076923 89.84615385
 90.46153846 91.07692308 91.69230769 92.30769231 92.92307692 93.53846154
 94.15384615 94.76923077 95.38461538 96.         96.61538462 97.23076923
 97.84615385]","[  1.84615385   2.46153846   3.07692308   3.69230769   4.30769231
   4.92307692   5.53846154   6.15384615   6.76923077   7.38461538
   8.           8.61538462   9.23076923   9.84615385  10.46153846
  11.07692308  11.69230769  12.30769231  12.92307692  13.53846154
  14.15384615  14.76923077  15.38461538  16.          16.61538462
  17.23076923  17.84615385  18.46153846  19.07692308  19.69230769
  20.30769231  20.92307692  21.53846154  22.15384615  22.76923077
  23.38461538  24.          24.61538462  25.23076923  25.84615385
  26.46153846  27.07692308  27.69230769  28.30769231  28.92307692
  29.53846154  30.15384615  30.76923077  31.38461538  32.
  32.61538462  33.23076923  33.84615385  34.46153846  35.07692308
  35.69230769  36.30769231  36.92307692  37.53846154  38.15384615
  38.76923077  39.38461538  40.          40.61538462  41.23076923
  41.84615385  42.46153846  43.07692308  43.69230769  44.30769231
  44.92307692  45.53846154  46.15384615  46.76923077  47.38461538
  48.          48.61538462  49.23076923  49.84615385  50.46153846
  51.07692308  51.69230769  52.30769231  52.92307692  53.53846154
  54.15384615  54.76923077  55.38461538  56.          56.61538462
  57.23076923  57.84615385  58.46153846  59.07692308  59.69230769
  60.30769231  60.92307692  61.53846154  62.15384615  62.76923077
  63.38461538  64.          64.61538462  65.23076923  65.84615385
  66.46153846  67.07692308  67.69230769  68.30769231  68.92307692
  69.53846154  70.15384615  70.76923077  71.38461538  72.
  72.61538462  73.23076923  73.84615385  74.46153846  75.07692308
  75.69230769  76.30769231  76.92307692  77.53846154  78.15384615
  78.76923077  79.38461538  80.          80.61538462  81.23076923
  81.84615385  82.46153846  83.07692308  83.69230769  84.30769231
  84.92307692  85.53846154  86.15384615  86.76923077  87.38461538
  88.          88.61538462  89.23076923  89.84615385  90.46153846
  91.07692308  91.69230769  92.30769231  92.92307692  93.53846154
  94.15384615  94.76923077  95.38461538  96.          96.61538462
  97.23076923  97.84615385  98.46153846  99.07692308  99.69230769
 100.30769231 100.92307692 101.53846154 102.15384615 102.76923077
 103.38461538 104.        ]","[  1.84615385   2.46153846   3.07692308   3.69230769   4.30769231
   4.92307692   5.53846154   6.15384615   6.76923077   7.38461538
   8.           8.61538462   9.23076923   9.84615385  10.46153846
  11.07692308  11.69230769  12.30769231  12.92307692  13.53846154
  14.15384615  14.76923077  15.38461538  16.          16.61538462
  17.23076923  17.84615385  18.46153846  19.07692308  19.69230769
  20.30769231  20.92307692  21.53846154  22.15384615  22.76923077
  23.38461538  24.          24.61538462  25.23076923  25.84615385
  26.46153846  27.07692308  27.69230769  28.30769231  28.92307692
  29.53846154  30.15384615  30.76923077  31.38461538  32.
  32.61538462  33.23076923  33.84615385  34.46153846  35.07692308
  35.69230769  36.30769231  36.92307692  37.53846154  38.15384615
  38.76923077  39.38461538  40.          40.61538462  41.23076923
  41.84615385  42.46153846  43.07692308  43.69230769  44.30769231
  44.92307692  45.53846154  46.15384615  46.76923077  47.38461538
  48.          48.61538462  49.23076923  49.84615385  50.46153846
  51.07692308  51.69230769  52.30769231  52.92307692  53.53846154
  54.15384615  54.76923077  55.38461538  56.          56.61538462
  57.23076923  57.84615385  58.46153846  59.07692308  59.69230769
  60.30769231  60.92307692  61.53846154  62.15384615  62.76923077
  63.38461538  64.          64.61538462  65.23076923  65.84615385
  66.46153846  67.07692308  67.69230769  68.30769231  68.92307692
  69.53846154  70.15384615  70.76923077  71.38461538  72.
  72.61538462  73.23076923  73.84615385  74.46153846  75.07692308
  75.69230769  76.30769231  76.92307692  77.53846154  78.15384615
  78.76923077  79.38461538  80.          80.61538462  81.23076923
  81.84615385  82.46153846  83.07692308  83.69230769  84.30769231
  84.92307692  85.53846154  86.15384615  86.76923077  87.38461538
  88.          88.61538462  89.23076923  89.84615385  90.46153846
  91.07692308  91.69230769  92.30769231  92.92307692  93.53846154
  94.15384615  94.76923077  95.38461538  96.          96.61538462
  97.23076923  97.84615385  98.46153846  99.07692308  99.69230769
 100.30769231 100.92307692 101.53846154 102.15384615 102.76923077
 103.38461538 104.        ]","[ 1.84615385  2.46153846  3.07692308  3.69230769  4.30769231  4.92307692
  5.53846154  6.15384615  6.76923077  7.38461538  8.          8.61538462
  9.23076923  9.84615385 10.46153846 11.07692308 11.69230769 12.30769231
 12.92307692 13.53846154 14.15384615 14.76923077 15.38461538 16.
 16.61538462 17.23076923 17.84615385 18.46153846 19.07692308 19.69230769
 20.30769231 20.92307692 21.53846154 22.15384615 22.76923077 23.38461538
 24.         24.61538462 25.23076923 25.84615385 26.46153846 27.07692308
 27.69230769 28.30769231 28.92307692 29.53846154 30.15384615 30.76923077
 31.38461538 32.         32.61538462 33.23076923 33.84615385 34.46153846
 35.07692308 35.69230769 36.30769231 36.92307692 37.53846154 38.15384615
 38.76923077 39.38461538 40.         40.61538462 41.23076923 41.84615385
 42.46153846 43.07692308 43.69230769 44.30769231 44.92307692 45.53846154
 46.15384615 46.76923077 47.38461538 48.         48.61538462 49.23076923
 49.84615385 50.46153846 51.07692308 51.69230769 52.30769231 52.92307692
 53.53846154 54.15384615 54.76923077 55.38461538 56.         56.61538462
 57.23076923 57.84615385 58.46153846 59.07692308 59.69230769 60.30769231
 60.92307692 61.53846154 62.15384615 62.76923077 63.38461538 64.
 64.61538462 65.23076923 65.84615385 66.46153846 67.07692308 67.69230769
 68.30769231 68.92307692 69.53846154 70.15384615 70.76923077 71.38461538
 72.         72.61538462 73.23076923 73.84615385 74.46153846 75.07692308
 75.69230769 76.30769231 76.92307692 77.53846154 78.15384615 78.76923077
 79.38461538 80.         80.61538462 81.23076923 81.84615385 82.46153846
 83.07692308 83.69230769 84.30769231 84.92307692 85.53846154 86.15384615
 86.76923077 87.38461538 88.         88.61538462 89.23076923 89.84615385
 90.46153846 91.07692308 91.69230769 92.30769231 92.92307692 93.53846154
 94.15384615 94.76923077 95.38461538 96.         96.61538462 97.23076923
 97.84615385]","[ 1.84615385  2.46153846  3.07692308  3.69230769  4.30769231  4.92307692
  5.53846154  6.15384615  6.76923077  7.38461538  8.          8.61538462
  9.23076923  9.84615385 10.46153846 11.07692308 11.69230769 12.30769231
 12.92307692 13.53846154 14.15384615 14.76923077 15.38461538 16.
 16.61538462 17.23076923 17.84615385 18.46153846 19.07692308 19.69230769
 20.30769231 20.92307692 21.53846154 22.15384615 22.76923077 23.38461538
 24.         24.61538462 25.23076923 25.84615385 26.46153846 27.07692308
 27.69230769 28.30769231 28.92307692 29.53846154 30.15384615 30.76923077
 31.38461538 32.         32.61538462 33.23076923 33.84615385 34.46153846
 35.07692308 35.69230769 36.30769231 36.92307692 37.53846154 38.15384615
 38.76923077 39.38461538 40.         40.61538462 41.23076923 41.84615385
 42.46153846 43.07692308 43.69230769 44.30769231 44.92307692 45.53846154
 46.15384615 46.76923077 47.38461538 48.         48.61538462 49.23076923
 49.84615385 50.46153846 51.07692308 51.69230769 52.30769231 52.92307692
 53.53846154 54.15384615 54.76923077 55.38461538 56.         56.61538462
 57.23076923 57.84615385 58.46153846 59.07692308 59.69230769 60.30769231
 60.92307692]","[ 1.84615385  2.46153846  3.07692308  3.69230769  4.30769231  4.92307692
  5.53846154  6.15384615  6.76923077  7.38461538  8.          8.61538462
  9.23076923  9.84615385 10.46153846 11.07692308 11.69230769 12.30769231
 12.92307692 13.53846154 14.15384615 14.76923077 15.38461538 16.
 16.61538462 17.23076923 17.84615385 18.46153846 19.07692308 19.69230769
 20.30769231 20.92307692 21.53846154 22.15384615 22.76923077 23.38461538
 24.         24.61538462 25.23076923 25.84615385 26.46153846 27.07692308
 27.69230769 28.30769231 28.92307692 29.53846154 30.15384615 30.76923077
 31.38461538 32.         32.61538462 33.23076923 33.84615385 34.46153846
 35.07692308 35.69230769 36.30769231 36.92307692 37.53846154 38.15384615
 38.76923077 39.38461538 40.         40.61538462 41.23076923 41.84615385
 42.46153846 43.07692308 43.69230769 44.30769231 44.92307692 45.53846154
 46.15384615 46.76923077 47.38461538 48.         48.61538462 49.23076923
 49.84615385 50.46153846 51.07692308 51.69230769 52.30769231 52.92307692
 53.53846154 54.15384615 54.76923077 55.38461538 56.         56.61538462
 57.23076923 57.84615385 58.46153846 59.07692308 59.69230769 60.30769231
 60.92307692 61.53846154 62.15384615 62.76923077 63.38461538 64.
 64.61538462 65.23076923 65.84615385 66.46153846 67.07692308 67.69230769
 68.30769231 68.92307692 69.53846154 70.15384615 70.76923077 71.38461538
 72.         72.61538462 73.23076923 73.84615385 74.46153846 75.07692308
 75.69230769 76.30769231 76.92307692 77.53846154 78.15384615 78.76923077
 79.38461538 80.         80.61538462 81.23076923 81.84615385 82.46153846
 83.07692308 83.69230769 84.30769231 84.92307692 85.53846154 86.15384615
 86.76923077 87.38461538 88.         88.61538462 89.23076923 89.84615385
 90.46153846 91.07692308 91.69230769 92.30769231 92.92307692 93.53846154
 94.15384615 94.76923077 95.38461538 96.         96.61538462 97.23076923
 97.84615385]"
